Minute,SecID,Best Bid,Best Ask,Spread
10:26,3809779,7.37 - 100 units,7.39 - 100 units,0.02
10:27,3809779,7.36 - 100 units,7.39 - 100 units,0.03
10:28,3809779,7.37 - 100 units,7.38 - 100 units,0.01
10:29,3809779,7.36 - 100 units,7.37 - 100 units,0.01
10:30,3809779,7.31 - 600 units,7.38 - 600 units,0.07
10:31,3809779,7.36 - 1500 units,7.37 - 1500 units,0.01
10:26,3809639,26.42 - 500 units,26.41 - 500 units,-0.01
10:27,3809639,26.42 - 100 units,26.41 - 100 units,-0.01
10:28,3809639,26.41 - 500 units,26.4 - 500 units,-0.01
10:29,3809639,26.41 - 300 units,26.4 - 300 units,-0.01
10:30,3809639,26.41 - 600 units,26.41 - 600 units,0.00
10:31,3809639,26.41 - 100 units,26.4 - 100 units,-0.01
10:26,3803913,13.84 - 100 units,13.84 - 100 units,0.00
10:27,3803913,13.84 - 100 units,13.84 - 100 units,0.00
10:28,3803913,13.84 - 300 units,13.85 - 300 units,0.01
10:29,3803913,13.85 - 200 units,13.85 - 200 units,0.00
10:30,3803913,13.86 - 200 units,13.84 - 200 units,-0.02
10:31,3803913,13.86 - 100 units,13.87 - 100 units,0.01
10:26,3803947,17.03 - 100 units,17.03 - 100 units,0.00
10:27,3803947,17.03 - 400 units,17.04 - 400 units,0.01
10:28,3803947,17.03 - 100 units,17.04 - 100 units,0.01
10:29,3803947,17.04 - 100 units,17.04 - 100 units,0.00
10:30,3803947,17.05 - 400 units,17.04 - 400 units,-0.01
10:31,3803947,17.06 - 200 units,17.07 - 200 units,0.01
10:26,3809688,29.38 - 6200 units,29.39 - 6200 units,0.01
10:27,3809688,29.38 - 300 units,29.39 - 300 units,0.01
10:28,3809688,29.38 - 300 units,29.39 - 300 units,0.01
10:29,3809688,29.38 - 300 units,29.39 - 300 units,0.01
10:30,3809688,29.39 - 1300 units,29.39 - 1300 units,0.00
10:31,3809688,29.38 - 1400 units,29.39 - 1400 units,0.01
10:26,3809654,8.21 - 100 units,8.22 - 100 units,0.01
10:27,3809654,8.23 - 500 units,8.22 - 500 units,-0.01
10:28,3809654,8.21 - 100 units,8.21 - 100 units,0.00
10:29,3809654,8.19 - 700 units,8.19 - 700 units,0.00
10:30,3809654,8.18 - 100 units,8.19 - 100 units,0.01
10:31,3809654,8.18 - 1000 units,8.19 - 1000 units,0.01
10:26,3802493,9.33 - 200 units,9.33 - 200 units,0.00
10:27,3802493,9.33 - 3000 units,9.33 - 3000 units,0.00
10:28,3802493,9.34 - 200 units,9.34 - 200 units,0.00
10:29,3802493,9.34 - 100 units,9.35 - 100 units,0.01
10:30,3802493,9.34 - 100 units,9.34 - 100 units,0.00
10:31,3802493,9.33 - 300 units,9.33 - 300 units,0.00
10:26,3803889,11.28 - 300 units,11.38 - 300 units,0.10
10:27,3803889,11.35 - 200 units,11.39 - 200 units,0.04
10:30,3803889,11.35 - 100 units,11.38 - 100 units,0.03
10:30,3897741,13.85 - 96 units,13.86 - 96 units,0.01
10:28,4002234,26.4 - 5 units,27 - 5 units,0.6
10:26,3805660,2.37 - 8000 units,2.48 - 8000 units,0.11
10:27,3806536,3.13 - 2000 units,3.14 - 2000 units,0.01
10:28,3806536,3.12 - 100 units,3.15 - 100 units,0.03
10:29,3806536,3.12 - 100 units,3.13 - 100 units,0.01
10:31,3806536,3.11 - 100 units,3.14 - 100 units,0.03
10:30,3805579,2.93 - 100 units,3.02 - 100 units,0.09
10:29,3863917,9.32 - 98 units,9.31 - 98 units,-0.01
10:31,4002184,14.84 - 95 units,59.26 - 95 units,44.42
